68	4228
0	0	514
0	1	14
0	3	150
0	4	79
0	5	7
0	7	44
0	8	206
0	11	21
0	12	7
0	13	446
0	14	51
0	15	68
0	16	171
0	17	110
0	19	16
0	20	56
0	21	18
0	22	263
0	23	4
0	25	28
0	26	138
0	27	70
0	28	126
0	29	338
0	30	61
0	31	89
0	32	265
0	33	4
0	34	9
0	35	96
0	36	211
0	37	42
0	38	39
0	39	2
0	40	25
0	41	129
0	42	169
0	43	96
0	44	23
0	45	2
0	46	9
0	47	192
0	48	237
0	49	469
0	50	293
0	51	394
0	52	68
0	53	16
0	54	7
0	55	169
0	56	488
0	57	35
0	58	79
0	59	77
0	61	9
0	62	176
0	63	439
0	64	44
0	65	112
0	66	68
0	67	143
1	0	9
1	1	6762
1	2	2
1	3	64
1	4	52
1	5	1007
1	6	4
1	7	308
1	8	78
1	11	19
1	12	7
1	13	415
1	14	710
1	15	133
1	16	581
1	17	80
1	18	40
1	19	64
1	20	26
1	21	152
1	22	344
1	23	19
1	24	2451
1	25	819
1	26	130
1	27	213
1	28	28
1	29	315
1	30	292
1	31	187
1	32	239
1	33	142
1	34	21
1	35	182
1	36	353
1	37	19
1	38	85
1	39	415
1	40	137
1	41	434
1	42	275
1	43	199
1	44	49
1	45	572
1	46	508
1	47	315
1	48	1890
1	49	603
1	50	484
1	51	277
1	52	57
1	53	427
1	54	7
1	55	194
1	56	935
1	57	1232
1	58	453
1	59	38
1	61	261
1	62	365
1	63	287
1	64	28
1	65	159
1	66	116
1	67	38
2	0	2
2	1	8
2	2	139
2	3	11
2	4	16
2	5	2
2	7	44
2	8	27
2	11	36
2	13	50
2	14	19
2	15	111
2	16	16
2	17	8
2	19	86
2	21	2
2	22	237
2	24	2
2	26	11
2	27	8
2	28	2
2	29	22
2	30	19
2	31	13
2	32	16
2	34	2
2	35	19
2	36	296
2	37	2
2	38	11
2	39	5
2	40	100
2	41	22
2	42	89
2	43	36
2	44	16
2	46	2
2	47	30
2	48	86
2	49	103
2	50	67
2	51	36
2	52	5
2	54	61
2	55	13
2	56	83
2	57	13
2	58	8
2	59	8
2	60	2
2	61	2
2	62	162
2	63	97
2	64	5
2	65	5
2	66	2
3	0	302
3	1	65
3	3	1260
3	4	355
3	5	20
3	7	153
3	8	760
3	11	88
3	12	55
3	13	1309
3	14	237
3	15	155
3	16	483
3	17	709
3	18	9
3	19	39
3	20	141
3	21	69
3	22	788
3	23	4
3	24	30
3	25	86
3	26	544
3	27	230
3	28	462
3	29	1454
3	30	369
3	31	348
3	32	1302
3	33	6
3	34	90
3	35	625
3	36	530
3	37	146
3	38	130
3	39	16
3	40	67
3	41	449
3	42	511
3	43	439
3	44	153
3	45	9
3	46	34
3	47	977
3	48	802
3	49	1961
3	50	974
3	51	1146
3	52	225
3	53	39
3	54	2
3	55	558
3	56	1295
3	57	118
3	58	281
3	59	421
3	60	9
3	61	6
3	62	365
3	63	1074
3	64	123
3	65	344
3	66	116
3	67	400
4	0	299
4	1	63
4	2	8
4	3	785
4	4	882
4	5	17
4	7	256
4	8	914
4	9	2
4	11	98
4	12	70
4	13	2304
4	14	277
4	15	203
4	16	599
4	17	680
4	18	6
4	19	67
4	20	157
4	21	61
4	22	1068
4	23	21
4	24	21
4	25	118
4	26	748
4	27	363
4	28	319
4	29	1849
4	30	394
4	31	481
4	32	1643
4	33	4
4	34	85
4	35	949
4	36	656
4	37	118
4	38	216
4	39	26
4	40	89
4	41	527
4	42	691
4	43	555
4	44	238
4	45	13
4	46	37
4	47	1433
4	48	1094
4	49	2517
4	50	1352
4	51	1674
4	52	221
4	53	63
4	54	6
4	55	711
4	56	1854
4	57	168
4	58	391
4	59	345
4	60	15
4	61	17
4	62	507
4	63	1414
4	64	168
4	65	429
4	66	111
4	67	378
5	0	1
5	1	963
5	3	17
5	4	31
5	5	685
5	6	1
5	7	156
5	8	17
5	11	21
5	12	1
5	13	172
5	14	325
5	15	13
5	16	281
5	17	21
5	18	5
5	19	25
5	20	27
5	21	89
5	22	158
5	23	15
5	24	247
5	25	277
5	26	43
5	27	101
5	29	116
5	30	99
