72	3972
0	0	1626
0	1	324
0	2	5
0	3	5
0	5	97
0	6	433
0	7	463
0	8	63
0	9	22
0	10	258
0	12	533
0	13	152
0	14	213
0	16	247
0	17	1093
0	18	13
0	19	19
0	20	11
0	21	1590
0	22	80
0	23	2
0	24	266
0	25	219
0	26	138
0	27	5
0	28	277
0	29	657
0	30	1049
0	31	2
0	32	1390
0	35	363
0	36	327
0	37	27
0	38	11
0	39	2
0	40	63
0	41	416
0	42	394
0	43	13
0	44	5
0	45	33
0	46	669
0	47	41
0	48	130
0	49	13
0	50	585
0	51	1374
0	52	371
0	53	241
0	54	22
0	55	210
0	56	124
0	61	316
0	64	141
0	65	352
0	66	277
0	67	788
0	68	2
0	69	607
0	70	141
0	71	1407
1	0	183
1	1	929
1	3	8
1	4	8
1	5	35
1	6	171
1	7	203
1	8	44
1	9	20
1	10	111
1	12	209
1	13	104
1	14	127
1	16	102
1	17	178
1	18	42
1	19	8
1	20	11
1	21	511
1	22	49
1	24	60
1	25	29
1	26	60
1	27	15
1	28	89
1	29	263
1	30	571
1	32	770
1	35	96
1	36	163
1	37	109
1	38	20
1	39	2
1	40	31
1	41	1324
1	42	196
1	43	13
1	45	6
1	46	1203
1	47	53
1	48	49
1	49	31
1	50	370
1	51	625
1	52	131
1	53	424
1	54	11
1	55	131
1	56	37
1	57	2
1	60	2
1	61	84
1	64	98
1	65	116
1	66	84
1	67	236
1	69	276
1	70	46
1	71	627
2	0	30
2	1	13
2	2	724
2	5	8
2	6	30
2	7	186
2	8	62
2	9	117
2	10	32
2	11	82
2	12	32
2	13	2
2	14	21
2	16	8
2	17	32
2	19	32
2	20	2
2	21	106
2	22	46
2	23	21
2	24	21
2	25	2
2	26	1770
2	28	27
2	29	54
2	30	98
2	31	79
2	32	300
2	35	19
2	36	82
2	37	2
2	39	24
2	40	38
2	41	24
2	42	46
2	43	51
2	45	103
2	46	43
2	47	5
2	48	24
2	50	35
2	51	51
2	52	43
2	53	19
2	54	2
2	55	84
2	56	19
2	59	51
2	60	109
2	61	30
2	63	19
2	64	142
2	65	131
2	66	35
2	67	243
2	68	60
2	69	125
2	70	186
2	71	68
3	0	50
3	1	73
3	3	29
3	4	2
3	5	11
3	6	56
3	7	41
3	8	11
3	9	8
3	10	32
3	12	47
3	13	53
3	14	29
3	16	5
3	17	59
3	18	2
3	19	5
3	20	2
3	21	59
3	23	2
3	24	14
3	26	14
3	28	17
3	29	73
3	30	141
3	32	186
3	35	8
3	36	17
3	37	11
3	38	56
3	40	8
3	41	91
3	42	23
3	43	2
3	45	2
3	46	289
3	47	8
3	48	14
3	49	2
3	50	62
3	51	171
3	52	26
3	53	26
3	54	2
3	55	26
3	56	23
3	61	26
3	62	11
3	64	17
3	65	17
3	66	23
3	67	59
3	69	47
3	70	2
3	71	159
4	0	35
4	1	128
4	3	2
4	4	479
4	5	2
4	6	35
4	7	33
4	8	10
4	10	48
4	12	38
4	13	48
4	14	41
4	15	53
4	16	17
4	17	48
4	18	199
4	20	38
4	21	123
4	22	5
4	24	17
4	25	7
4	26	12
4	27	5
4	28	20
4	29	33
4	30	133
4	32	133
4	33	12
4	35	28
4	36	20
4	37	192
4	38	5
4	39	2
4	40	7
4	41	287
4	42	38
4	43	2
4	45	2
4	46	217
4	47	69
4	48	17
4	49	2
4	50	82
4	51	105
4	52	17
4	53	43
4	55	30
4	56	10
4	61	33
4	64	28
4	65	28
4	66	7
4	67	69
4	69	53
4	70	10
4	71	169
5	0	268
5	1	89
5	5	447
5	6	93
5	7	182
5	8	81
5	9	11
5	10	237
5	12	178
5	13	23
5	14	221
5	16	260
5	17	233
5	19	3
5	20	7
5	21	711
5	22	66
5	24	159
5	25	69
5	26	77
5	28	186
5	29	202
5	30	933
5	32	754
5	35	229
5	36	388
5	37	15
5	38	3
5	39	3
5	40	19
5	41	128
5	42	369
5	43	7
5	45	7
5	46	213
5	47	7
5	48	38
5	49	11
5	50	120
5	51	260
5	52	513
5	53	108
5	54	7
5	55	206
5	56	54
5	61	349
5	64	89
5	65	190
5	66	233
5	67	322
5	69	349
5	70	101
5	71	1267
6	0	439
6	1	328
6	2	14
6	3	12
6	4	12
6	5	112
6	6	3539
6	7	865
6	8	66
6	9	24
6	10	370
6	12	439
6	13	497
6	14	233
6	16	235
6	17	826
6	18	12
6	19	93
6	20	14
6	21	2257
6	22	162
6	23	2
6	24	218
6	25	106
6	26	395
6	27	14
6	28	245
6	29	2478
6	30	1540
6	31	8
6	32	3970
6	35	201
6	36	499
6	37	24
6	39	8
6	40	183
6	41	499
6	42	570
6	43	27
6	44	16
6	45	37
6	46	1192
6	47	29
6	48	491
6	49	4
6	50	453
6	51	1415
6	52	297
6	53	272
6	54	87
6	55	437
6	56	156
6	59	2
6	60	2
6	61	285
6	62	2
6	64	316
6	65	539
6	66	274
6	67	940
6	68	2
6	69	1009
6	70	154
6	71	1875
7	0	155
7	1	131
7	2	7
7	3	5
7	4	5
7	5	120
7	6	265
7	7	1694
7	8	107
7	9	91
7	10	225
7	12	220
7	13	44
7	14	286
7	16	231
7	17	225
7	18	10
7	19	57
7	20	13
7	21	940
7	22	168
7	23	13
7	24	84
7	25	31
7	26	454
7	27	5
7	28	283
7	29	438
7	30	1016
7	31	5
7	32	3005
7	35	128
7	36	422
7	37	15
7	38	2
7	39	23
7	40	265
7	41	155
7	42	751
7	43	44
7	45	23
7	46	307
7	47	21
7	48	118
7	49	2
7	50	260
7	51	425
7	52	278
7	53	99
7	54	21
7	55	835
7	56	281
7	59	2
7	61	186
7	64	412
7	65	1077
7	66	404
7	67	1258
7	69	1258
7	70	310
7	71	1113
8	0	40
8	1	17
8	3	2
8	5	2
8	6	17
8	7	80
8	8	973
8	9	129
8	10	40
8	12	23
8	13	5
8	14	69
8	16	57
8	17	66
8	18	5
8	19	14
8	20	2
8	21	155
8	22	158
8	23	14
8	24	2
8	25	17
8	26	218
8	28	34
8	29	63
8	30	115
8	31	2
8	32	233
8	35	28
8	36	40
8	39	146
8	40	5
8	41	23
8	42	83
8	43	593
8	45	273
8	46	60
8	48	14
8	50	28
8	51	72
8	52	83
8	53	17
8	54	5
8	55	25
8	56	43
8	61	48
8	64	161
8	65	37
8	66	89
8	67	167
8	68	8
8	69	184
8	70	1011
8	71	158
9	0	41
9	1	36
9	2	41
9	4	5
9	5	10
9	6	47
9	7	198
9	8	227
9	9	444
9	10	28
9	12	39
9	13	15
9	14	39
9	16	49
9	17	39
9	19	10
9	20	2
9	21	169
9	22	104
9	23	54
9	24	20
9	25	5
9	26	800
9	28	52
9	29	78
9	30	130
9	31	10
9	32	420
9	35	28
9	36	117
9	37	2
9	39	52
9	40	28
9	41	18
9	42	67
9	43	109
9	45	313
9	46	31
9	47	2
9	48	41
9	49	2
9	50	23
9	51	73
9	52	26
9	53	20
9	54	5
9	55	49
9	56	62
9	59	5
9	60	31
9	61	49
9	64	392
9	65	138
9	66	75
9	67	392
9	68	39
9	69	167
9	70	609
9	71	109
10	0	200
10	1	92
10	3	2
10	4	8
10	5	113
10	6	137
10	7	227
10	8	104
10	9	17
10	10	658
10	12	272
10	13	26
10	14	365
10	16	260
10	17	140
10	18	17
10	19	14
10	20	2
10	21	559
10	22	62
10	23	2
10	24	116
10	25	44
10	26	68
10	28	413
10	29	167
10	30	1044
10	32	664
10	33	2
10	35	212
10	36	296
10	37	2
10	39	2
10	40	41
10	41	113
10	42	532
10	43	20
10	45	5
10	46	140
10	47	20
10	48	41
10	49	8
10	50	116
10	51	347
10	52	326
10	53	131
10	54	8
10	55	131
10	56	128
10	61	206
10	64	128
10	65	218
10	66	194
10	67	293
10	68	5
10	69	323
10	70	83
10	71	1643
11	0	2
11	1	5
11	2	160
11	5	2
11	6	8
11	7	59
11	8	32
11	9	35
11	10	8
11	11	50
11	12	26
11	14	5
11	16	2
11	17	2
11	21	20
11	22	8
11	24	11
11	26	487
11	28	8
11	29	17
11	30	29
11	31	11
11	32	68
11	35	2
11	36	23
11	39	2
11	41	8
11	42	14
11	43	8
11	45	35
11	46	2
11	48	8
11	50	2
11	51	23
11	52	20
11	53	2
11	55	5
11	56	14
11	59	41
11	60	53
11	61	2
11	63	5
11	64	26
11	65	26
11	66	11
11	67	62
11	68	20
11	69	32
11	70	38
11	71	17
12	0	670
12	1	288
12	2	12
12	3	9
12	5	81
12	6	254
12	7	312
12	8	51
12	9	21
12	10	248
12	12	649
12	13	103
12	14	136
12	16	227
12	17	433
12	18	6
12	19	21
12	20	6
12	21	819
12	22	63
12	23	3
12	24	169
12	25	66
12	26	100
12	27	3
12	28	157
12	29	251
12	30	919
12	32	986
12	35	364
12	36	254
12	37	33
12	38	3
12	40	78
12	41	315
12	42	236
12	43	15
12	45	12
12	46	640
12	47	45
12	48	33
12	49	3
12	50	634
12	51	1086
12	52	230
12	53	327
12	54	6
12	55	109
12	56	124
12	60	3
12	61	248
12	64	139
12	65	239
12	66	194
12	67	524
12	68	3
12	69	364
12	70	136
12	71	1210
13	0	266
13	1	147
13	3	22
13	4	9
13	5	27
13	6	416
13	7	172
13	8	19
13	9	29
13	10	106
13	12	130
13	13	964
13	14	64
13	16	39
13	17	231
13	18	7
13	19	24
13	20	12
13	21	473
13	22	44
13	24	24
13	25	19
13	26	83
13	27	9
13	28	66
13	29	419
13	30	424
13	32	764
13	35	73
13	36	133
13	37	19
13	39	2
13	40	44
13	41	221
13	42	172
13	43	2
13	44	27
13	46	517
13	47	12
13	48	61
13	50	175
13	51	725
13	52	61
13	53	128
13	54	17
13	55	135
13	56	32
13	57	4
13	59	2
13	60	2
13	61	73
13	64	78
13	65	101
13	66	59
13	67	229
13	68	2
13	69	165
13	70	59
13	71	564
14	0	213
14	1	93
14	2	5
14	3	5
14	5	163
14	6	128
14	7	374
14	8	116
14	9	20
14	10	497
14	12	254
14	13	46
14	14	742
14	16	353
14	17	137
14	18	8
14	19	5
14	20	11
14	21	575
14	22	99
14	24	67
14	25	43
14	26	90
14	27	2
14	28	429
14	29	210
14	30	1254
14	32	1090
14	35	172
14	36	271
14	37	20
14	39	5
14	40	87
14	41	163
14	42	611
14	43	26
14	45	17
14	46	195
14	47	29
14	48	35
14	50	160
14	51	339
14	52	464
14	53	131
14	54	2
14	55	353
14	56	102
14	60	5
14	61	271
14	64	163
14	65	388
14	66	163
14	67	459
14	68	2
14	69	432
14	70	90
14	71	1827
15	0	24
15	1	52
15	4	151
15	6	10
15	7	21
15	8	7
15	10	17
15	12	24
15	13	17
15	14	17
15	15	3
15	16	3
15	17	14
15	18	45
15	20	17
15	21	38
15	22	3
15	24	7
15	26	3
15	28	3
15	29	24
15	30	52
15	32	49
15	35	10
15	37	66
15	38	7
15	40	7
15	41	77
15	42	10
15	43	3
15	44	3
15	46	35
15	47	14
15	48	3
15	50	28
15	51	35
15	52	14
15	53	10
15	55	10
15	56	3
15	61	14
15	64	10
15	65	3
15	66	10
15	67	24
15	69	14
15	71	49
16	0	276
16	1	205
16	3	5
16	5	205
16	6	218
16	7	625
16	8	104
16	9	33
16	10	471
16	11	2
16	12	521
16	13	44
16	14	555
16	15	2
16	16	1149
16	17	179
16	18	23
16	19	15
16	20	23
16	21	1006
16	22	208
16	23	2
16	24	161
16	25	70
16	26	114
16	28	500
16	29	417
16	30	1829
16	32	2152
16	35	294
16	36	721
16	37	20
16	38	5
16	39	10
16	40	99
16	41	203
16	42	807
16	43	39
16	44	2
16	45	10
16	46	317
16	47	41
16	48	70
16	49	7
16	50	271
16	51	469
16	52	547
16	53	166
16	54	10
16	55	401
16	56	273
16	60	2
16	61	409
16	64	187
16	65	508
16	66	596
16	67	1006
16	69	920
16	70	138
16	71	2739
17	0	656
17	1	385
17	3	6
17	4	13
17	5	97
17	6	693
17	7	728
17	8	69
17	9	11
17	10	273
17	12	410
17	13	246
17	14	218
17	16	213
17	17	1891
17	18	20
17	19	44
17	20	6
17	21	2051
17	22	132
17	23	4
17	24	148
17	25	90
17	26	185
17	27	6
17	28	227
17	29	1336
17	30	1155
17	31	6
17	32	2290
17	35	239
17	36	385
17	37	32
17	39	4
17	40	88
17	41	380
17	42	494
17	43	30
17	44	2
17	45	34
17	46	847
17	47	39
17	48	176
17	49	9
17	50	389
17	51	1459
17	52	299
17	53	241
