56 2980
0 1 467
0 2 189
0 3 808
0 4 1307
0 5 284
0 6 40
0 7 162
0 8 42
0 9 511
0 10 527
0 11 92
0 12 11
0 13 1
0 14 6
0 15 583
0 16 350
0 17 390
0 18 171
0 19 550
0 20 87
0 21 68
0 22 1305
0 23 68
0 24 220
0 25 262
0 26 137
0 27 893
0 28 283
0 29 293
0 30 155
0 31 7
0 32 135
0 33 40
0 34 64
0 35 33
0 36 40
0 37 99
0 38 9
0 39 109
0 40 33
0 41 30
0 42 1
0 43 64
0 44 56
0 45 1498
0 46 91
0 47 110
0 48 59
0 49 12
0 50 5
0 51 293
0 52 7
0 53 6
0 54 98
0 55 19
1 0 85
1 2 69
1 3 613
1 4 452
1 5 180
1 6 19
1 7 134
1 8 28
1 9 305
1 10 337
1 11 36
1 12 10
1 14 2
1 15 336
1 16 252
1 17 245
1 18 146
1 19 344
1 20 64
1 21 68
1 22 1221
1 23 49
1 24 117
1 25 130
1 26 108
1 27 482
1 28 226
1 29 223
1 30 131
1 31 2
1 32 91
1 33 39
1 34 58
1 35 31
1 36 26
1 37 76
1 38 7
1 39 65
1 40 21
1 41 16
1 42 8
1 43 54
1 44 50
1 45 705
1 46 74
1 47 76
1 48 44
1 49 6
1 50 2
1 51 331
1 52 3
1 53 1
1 54 74
1 55 7
2 0 98
2 1 270
2 3 603
2 4 552
2 5 176
2 6 27
2 7 150
2 8 28
2 9 641
2 10 546
2 11 59
2 12 27
2 13 1
2 14 3
2 15 456
2 16 312
2 17 336
2 18 143
2 19 456
2 20 108
2 21 80
2 22 1622
2 23 56
2 24 198
2 25 131
2 26 166
2 27 707
2 28 302
2 29 219
2 30 81
2 31 5
2 32 133
2 33 48
2 34 42
2 35 31
2 36 40
2 37 128
2 38 2
2 39 84
2 40 40
2 41 20
2 42 3
2 43 67
2 44 58
2 45 1253
2 46 97
2 47 110
2 48 52
2 49 6
2 51 424
2 52 7
2 53 1
2 54 114
2 55 21
3 0 83
3 1 369
3 2 179
3 4 532
3 5 255
3 6 53
3 7 190
3 8 39
3 9 631
3 10 749
3 11 75
