178	30000
0	0	3509
0	3	13
0	4	104
0	5	23
0	6	629
0	7	30
0	8	116
0	9	100
0	10	256
0	11	58
0	12	2
0	13	321
0	14	16
0	15	97
0	16	27
0	17	88
0	18	258
0	19	23
0	20	312
0	21	83
0	22	4
0	23	135
0	24	156
0	25	37
0	26	160
0	27	41
0	28	34
0	29	27
0	30	1671
0	31	347
0	32	146
0	33	167
0	34	2676
0	35	27
0	36	193
0	37	1989
0	38	11
0	39	20
0	40	9
0	41	83
0	42	1410
0	43	37
0	44	163
0	45	212
0	46	30
0	47	615
0	48	209
0	49	25
0	50	53
0	51	200
0	52	2238
0	53	37
0	54	100
0	55	6
0	56	893
0	57	184
0	58	289
0	59	46
0	60	251
0	61	1007
0	62	510
0	63	13
0	64	247
0	65	6
0	66	74
0	67	51
0	68	111
0	69	72
0	70	116
0	71	1545
0	72	62
0	73	58
0	74	617
0	75	41
0	76	39
0	78	86
0	79	181
0	80	11
0	81	18
0	82	79
0	83	233
0	84	732
0	85	2
0	86	1737
0	87	79
0	88	102
0	89	128
0	90	6
0	91	69
0	92	95
0	93	32
0	94	389
0	95	918
0	96	296
0	97	263
0	98	342
0	99	6
0	100	30
0	101	265
0	102	317
0	103	9
0	104	9
0	105	349
0	106	146
0	107	97
0	108	67
0	109	4
0	110	1755
0	111	60
0	112	589
0	113	314
0	114	198
0	115	44
0	116	114
0	117	41
0	118	2
0	119	30
0	120	298
0	122	331
0	123	18
0	124	135
0	125	34
0	126	851
0	127	240
0	128	319
0	129	627
0	130	179
0	131	90
0	132	18
0	133	279
0	134	18
0	135	13
0	136	62
0	137	55
0	138	18
0	139	202
0	140	60
0	141	30
0	142	83
0	143	44
0	144	69
0	145	67
0	146	261
0	147	65
0	148	293
0	149	170
0	150	48
0	151	79
0	152	11
0	153	1051
0	154	207
0	155	9
0	156	11
0	157	41
0	158	25
0	159	543
0	160	27
0	161	62
0	162	561
0	163	72
0	164	263
0	165	72
0	166	118
0	167	181
0	168	9
0	169	46
0	170	426
0	171	25
0	172	55
0	173	30
0	174	170
0	175	16
0	176	156
0	177	188
1	0	30
1	1	763
1	2	6
1	3	67
1	4	6
1	5	6
1	6	13
1	7	33
1	8	10
1	10	10
1	13	20
1	14	6
1	16	10
1	17	3
1	18	10
1	19	6
1	20	26
1	21	26
1	23	13
1	24	23
1	25	23
1	26	13
1	28	6
1	29	3
1	30	47
1	31	73
1	32	13
1	34	26
1	35	10
1	36	20
1	37	33
1	38	10
1	39	30
1	40	40
1	41	10
1	42	10
1	43	20
1	46	23
1	47	26
1	48	43
1	49	6
1	50	6
1	51	6
1	52	33
1	53	6
1	54	16
1	55	1294
1	56	3
1	57	23
1	58	20
1	59	36
1	60	33
1	61	6
1	62	20
1	64	16
1	66	20
1	68	16
1	69	131
1	70	6
1	71	23
1	73	10
1	74	20
1	76	10
1	77	3
1	78	6
1	79	3
1	80	47
1	81	26
1	82	30
1	84	16
1	85	26
1	86	3
1	87	23
1	91	26
1	92	16
1	93	20
1	94	6
1	95	6
1	96	10
1	97	23
1	98	23
1	99	16
1	100	20
1	102	3
1	103	53
1	104	393
1	105	3
1	106	33
1	107	26
1	108	709
1	109	218
1	110	23
1	112	23
1	113	6
1	114	50
1	115	36
1	116	6
1	117	6
1	118	26
1	119	6
1	120	20
1	122	6
1	123	47
1	124	6
1	125	6
1	126	40
1	127	6
1	128	10
1	129	6
1	130	16
1	132	70
1	133	10
1	135	13
1	136	26
1	137	151
1	138	36
1	139	20
1	140	84
1	141	43
1	142	20
1	143	3
1	144	171
1	145	6
1	146	3
1	147	3
1	148	6
1	149	10
1	150	110
1	151	3
1	152	6
1	153	33
1	154	16
1	155	23
1	156	40
1	157	16
1	158	6
1	159	13
1	160	13
1	161	36
1	162	23
1	163	63
1	164	23
1	165	6
1	166	10
1	167	3
1	169	114
1	170	13
1	171	847
1	173	13
1	175	3
1	176	3
1	177	20
2	0	14
2	2	126
2	3	337
2	5	72
2	7	34
2	8	14
2	10	2
2	11	2
2	13	2
2	14	2
2	15	2
2	16	89
2	17	2
2	18	25
2	19	8
2	20	14
2	21	17
2	23	14
2	24	14
2	25	146
2	26	11
2	27	2
2	29	14
2	30	11
2	31	195
2	32	23
2	33	11
2	34	20
2	35	8
2	36	2
2	37	8
2	38	11
2	39	54
2	40	112
2	41	17
2	42	17
2	43	77
2	44	5
2	45	14
2	46	109
2	47	8
2	48	23
2	49	83
2	50	5
2	52	14
2	53	92
2	54	483
2	55	8
2	56	2
2	57	8
2	58	17
2	59	17
2	60	23
2	62	8
2	63	2
2	64	23
2	65	43
2	66	28
2	68	11
2	69	106
2	70	2
2	71	23
2	72	2
2	74	5
2	75	2
2	76	2
2	77	2
2	78	2
2	79	2
2	80	46
2	81	97
2	82	80
2	83	2
2	84	5
2	85	11
2	87	80
2	88	14
2	91	20
2	92	23
2	93	89
2	95	14
2	96	8
2	97	66
2	98	5
2	99	17
2	100	40
2	103	2
2	104	2
2	105	8
2	106	14
2	107	126
2	108	175
2	109	20
2	110	2
2	111	8
2	112	14
2	114	77
2	115	89
2	116	5
2	117	48
2	118	5
2	119	152
2	122	5
2	123	28
2	124	28
2	126	25
2	127	2
2	129	2
2	132	46
2	133	5
2	135	106
2	136	23
2	137	74
2	138	11
2	139	17
2	140	100
2	141	80
2	142	342
2	143	11
2	144	89
2	145	89
2	148	14
2	149	8
2	150	46
2	151	2
2	152	95
2	153	17
2	154	14
2	155	14
2	156	25
2	157	5
2	158	5
2	159	2
2	160	97
2	161	178
2	162	23
2	163	43
2	164	17
2	165	14
2	166	11
2	167	2
2	169	63
2	170	5
2	171	236
2	173	51
2	174	5
2	175	20
2	176	5
2	177	14
3	0	59
3	2	172
3	3	1075
3	4	8
3	5	202
3	6	16
3	7	156
3	8	33
3	9	4
3	10	25
3	13	25
3	14	4
3	15	4
3	16	248
3	17	8
3	18	71
3	19	25
3	20	118
3	21	63
3	22	4
3	23	33
3	24	109
3	25	535
3	26	54
3	27	4
3	28	33
3	29	50
3	30	80
3	31	510
3	32	105
3	33	33
3	34	71
3	35	139
3	36	33
3	37	21
3	38	21
3	39	185
3	40	324
3	41	113
3	42	92
3	43	366
3	44	8
3	45	25
3	46	417
3	47	54
3	48	172
3	49	286
3	51	21
3	52	37
3	53	299
3	54	1636
3	55	8
3	56	8
3	57	84
3	58	118
3	59	42
3	60	130
3	61	12
3	62	63
3	64	71
3	65	96
3	66	92
3	67	4
3	68	29
3	69	240
3	70	29
3	71	92
3	73	4
3	74	54
3	76	42
3	77	8
3	78	8
3	79	16
3	80	84
3	81	210
3	82	172
3	83	12
3	84	29
3	85	71
3	86	37
3	87	324
3	88	75
3	89	4
3	91	143
3	92	80
3	93	345
3	94	16
3	95	29
3	96	42
3	97	193
3	98	33
3	99	54
3	100	59
3	101	12
3	102	4
3	103	16
3	104	8
3	105	4
3	106	101
3	107	383
3	108	632
3	109	63
3	110	50
3	111	37
3	112	109
3	113	29
3	114	379
3	115	286
3	116	37
3	117	122
3	118	21
3	119	451
3	120	46
3	122	16
3	123	71
3	124	244
3	125	4
3	126	101
3	127	29
3	128	8
3	129	16
3	130	71
3	131	8
3	132	227
3	133	29
3	135	476
3	136	105
3	137	295
3	138	37
3	139	42
3	140	231
3	141	215
3	142	1239
3	143	130
3	144	244
3	145	215
3	146	12
3	148	37
3	149	12
3	150	185
3	151	4
3	152	126
3	153	84
3	154	59
3	155	101
3	156	80
3	157	8
3	158	21
3	159	29
3	160	320
3	161	531
3	162	67
3	163	198
3	164	59
3	165	67
3	166	25
3	167	75
3	168	4
3	169	215
3	170	46
3	171	1033
3	172	4
3	173	113
3	174	16
3	175	71
3	176	25
3	177	88
4	0	237
4	2	2
4	3	14
4	4	2302
4	5	17
4	6	162
4	7	22
4	8	32
4	9	99
4	10	169
4	11	17
4	12	4
4	13	119
4	14	14
4	15	19
4	16	7
4	17	99
4	18	219
4	19	12
4	20	154
4	21	24
4	23	89
4	24	154
4	25	37
4	26	37
4	27	17
4	28	44
4	29	9
4	30	858
4	31	207
4	32	94
4	33	97
4	34	711
4	35	34
4	36	232
4	37	219
4	38	7
4	39	17
4	40	32
4	41	67
4	42	593
4	43	37
4	44	57
4	45	576
4	46	29
4	47	311
4	48	89
4	49	42
4	50	42
4	51	334
4	52	621
4	53	19
4	54	139
4	55	14
4	56	74
4	57	114
4	58	708
4	59	17
4	60	119
4	61	254
4	62	4637
4	63	4
4	64	79
4	65	9
4	66	59
4	67	29
4	68	87
4	69	24
4	70	57
4	71	785
4	72	172
4	73	7
4	74	259
4	75	19
4	76	89
4	77	4
4	78	37
4	79	162
4	80	17
4	81	14
4	82	39
4	83	129
4	84	122
4	85	14
4	86	207
4	87	59
4	88	94
4	89	59
4	90	7
4	91	67
4	92	67
4	93	32
4	94	157
4	95	461
4	96	334
4	97	187
4	98	142
4	99	7
4	100	12
4	101	89
4	102	64
4	103	4
4	104	9
4	105	139
4	106	77
4	107	84
4	108	84
4	109	7
4	110	1666
4	111	915
4	112	142
4	113	451
4	114	107
4	115	27
4	116	47
4	117	47
4	118	2
4	119	32
4	120	349
4	122	2362
4	123	12
4	124	239
4	125	29
4	126	1511
4	127	144
4	128	366
4	129	359
4	130	384
4	131	44
4	132	19
4	133	738
4	134	22
4	135	24
4	136	22
4	137	42
4	138	12
4	139	89
4	140	39
4	141	19
4	142	114
4	143	49
4	144	39
4	145	62
4	146	311
4	147	39
4	148	419
4	149	109
4	150	52
4	151	19
4	153	743
4	154	356
4	155	14
4	156	4
4	157	14
4	158	39
4	159	172
4	160	24
4	161	64
4	162	229
4	163	34
4	164	229
4	165	102
4	166	132
4	167	34
4	168	82
4	169	24
4	170	424
4	171	27
4	172	7
4	173	34
4	174	456
4	175	12
4	176	154
4	177	62
5	0	59
5	2	23
5	3	159
5	4	6
5	5	902
5	6	13
5	7	69
5	8	26
5	9	3
5	10	13
5	11	6
5	13	9
5	14	3
5	16	92
5	17	3
5	18	43
5	19	66
5	20	92
5	21	49
5	22	3
5	23	86
5	24	152
5	25	285
5	26	9
5	28	36
5	29	66
5	30	66
5	31	550
5	32	82
5	33	6
5	34	56
5	35	126
5	36	33
5	37	39
5	38	16
5	39	49
5	40	145
5	41	172
5	42	39
5	43	441
5	44	9
5	45	36
5	46	232
5	47	26
5	48	285
5	49	235
5	50	13
5	51	9
5	52	69
5	53	477
5	54	2116
5	55	9
5	56	13
5	57	116
5	58	99
5	59	96
5	60	182
5	61	16
5	62	39
5	64	53
5	65	182
5	66	132
5	67	9
5	68	56
5	69	122
5	70	13
5	71	92
5	72	3
5	73	3
5	74	36
5	75	6
5	76	23
5	77	13
5	78	3
5	79	9
5	80	36
5	81	116
5	82	295
5	83	6
5	84	6
5	85	13
5	86	26
5	87	311
5	88	49
5	90	3
5	91	142
5	92	132
5	93	205
5	94	19
5	95	36
5	96	19
5	97	172
5	98	36
5	99	16
5	100	112
5	101	6
5	102	9
5	103	6
5	105	9
5	106	102
5	107	444
5	108	301
5	109	29
5	110	46
5	111	13
5	112	76
5	113	9
5	114	318
5	115	272
5	116	36
5	117	165
5	118	13
5	119	262
5	120	29
5	122	6
5	123	43
5	124	361
5	126	86
5	127	3
5	128	9
5	129	26
5	130	23
5	131	6
5	132	102
5	133	16
5	134	3
5	135	587
5	136	96
5	137	122
5	138	59
5	139	49
5	140	152
5	141	46
5	142	1094
5	143	119
5	144	132
5	145	311
5	146	29
5	147	13
5	148	36
5	149	6
5	150	72
5	151	3
5	152	46
5	153	66
5	154	56
5	155	19
5	156	33
5	157	3
5	158	59
5	159	19
5	160	202
5	161	849
5	162	99
5	163	132
5	164	86
5	165	59
5	166	29
5	167	33
5	169	89
5	170	23
5	171	600
5	173	46
5	174	13
5	175	89
5	176	9
5	177	82
6	0	562
6	2	5
6	3	15
6	4	107
6	5	15
6	6	928
6	7	15
6	8	62
6	9	49
6	10	120
6	11	26
6	12	2
6	13	154
6	14	5
6	15	117
6	16	23
6	17	214
6	18	209
6	19	13
6	20	300
6	21	86
6	23	125
6	24	130
6	25	41
6	26	117
6	27	26
6	28	54
6	29	60
6	30	603
6	31	303
6	32	96
6	33	133
6	34	907
6	35	15
6	36	305
6	37	928
6	38	10
6	39	15
6	40	10
6	41	75
6	42	488
6	43	26
6	44	54
6	45	279
6	46	13
6	47	734
6	48	214
6	49	28
6	50	33
6	51	345
6	52	643
6	53	39
6	54	75
6	55	15
6	56	130
6	57	188
6	58	407
6	59	73
6	60	203
6	61	368
6	62	679
6	63	41
6	64	115
6	65	7
6	66	62
6	67	20
6	68	41
6	69	33
6	70	60
6	71	512
6	72	62
6	73	28
6	74	282
6	75	15
6	76	78
6	77	2
6	78	44
6	79	214
6	80	18
6	81	5
6	82	47
6	83	91
6	84	358
6	85	5
6	86	392
6	87	73
6	88	107
6	89	49
6	90	10
6	91	67
6	92	151
6	93	5
6	94	316
6	95	708
6	96	193
6	97	198
6	98	177
6	99	2
6	100	26
6	101	83
6	102	394
6	103	15
6	104	2
6	105	96
6	106	135
6	107	49
6	108	54
6	109	10
6	110	2339
6	111	65
6	112	405
6	113	303
6	114	188
6	115	36
6	116	67
6	117	41
6	118	5
6	119	18
6	120	133
6	122	250
6	123	26
6	124	122
6	125	23
6	126	682
6	127	201
6	128	219
6	129	1160
6	130	237
6	131	292
6	132	20
6	133	240
6	134	7
6	135	13
6	136	73
6	137	44
6	138	31
6	139	151
6	140	36
6	141	10
6	142	60
6	143	33
6	144	52
6	145	91
6	146	104
6	147	49
6	148	107
6	149	57
6	150	70
6	151	41
6	153	305
6	154	305
6	155	18
6	156	7
6	157	49
6	158	28
6	159	334
6	160	10
6	161	49
6	162	541
6	163	23
6	164	337
6	165	75
6	166	235
6	167	146
6	168	18
6	169	39
6	170	381
6	171	15
6	172	13
6	173	7
6	174	146
6	175	13
6	176	190
6	177	122
7	0	126
7	1	9
7	2	123
7	3	819
7	4	12
7	5	195
7	6	49
7	7	2958
7	8	47
7	9	7
7	10	32
7	11	19
7	12	4
7	13	37
7	14	12
7	16	982
7	17	34
7	18	99
7	19	34
7	20	131
7	21	86
7	23	81
7	24	111
7	25	2020
7	26	59
7	27	22
7	28	37
7	29	121
7	30	146
7	31	435
7	32	89
7	33	64
7	34	76
7	35	91
7	36	49
7	37	37
7	38	178
7	39	415
7	40	1287
7	41	113
7	42	113
7	43	264
7	44	17
7	45	39
7	46	732
7	47	47
7	48	116
7	49	242
7	50	9
7	51	34
7	52	123
7	53	245
7	54	1193
7	55	121
7	56	39
7	57	113
7	58	113
7	59	71
7	60	146
7	61	59
7	62	61
7	63	14
7	64	71
7	65	160
7	66	101
7	67	7
7	68	54
7	69	1455
7	70	27
7	71	146
7	72	4
7	73	9
7	74	56
7	75	14
7	76	34
7	77	17
7	78	12
7	79	39
7	80	299
7	81	495
7	82	138
7	83	27
7	84	56
7	85	710
7	86	64
7	87	222
7	88	39
7	89	4
7	90	7
7	91	136
7	92	94
7	93	760
7	94	32
7	95	69
7	96	47
7	97	185
7	98	69
7	99	396
7	100	103
7	101	32
7	102	22
7	103	415
7	104	19
7	105	7
7	106	89
7	107	351
7	108	3342
7	109	507
7	110	56
7	111	22
7	112	111
7	113	34
7	114	396
7	115	195
7	116	32
7	117	108
7	118	141
7	119	802
7	120	39
7	122	19
7	123	641
7	124	153
7	125	24
