County	Area	Pop
0	342.128749435	18343
1	390.357217475	35251
2	1404.07792295	98990
3	2372.63418544	1493350
4	995.454965531	77547
5	522.401122138	51125
6	491.569555459	101564
7	1161.25472007	182493
8	930.668940881	65707
9	845.855708111	63216
10	1395.59895858	93772
11	499.972897383	949113
12	596.822632577	42155
13	375.77153894	25348
14	532.791778817	304204
15	1035.20913108	48946
16	57.4721479471	1385108
17	715.287465308	200600
18	1324.30921866	80317
19	881.823504828	80026
20	1507.79455268	134905
21	410.959316286	88830
22	897.818643851	50477
23	1116.81372857	82128
24	647.907498382	63096
25	501.139392842	49336
26	1466.34061278	47980
27	824.439345608	297488
28	1221.97001807	919040
29	1915.01996146	39370
30	1696.38233733	51599
31	532.621844132	55531
32	496.057047849	60079
33	657.720078973	49221
34	1806.21212998	4836
35	1456.42011311	64519
36	1753.08297657	116229
37	97.1456057497	2504700
38	1289.73373488	27087
39	640.501554901	65393
40	660.767519595	73442
41	1382.59446679	744344
42	409.990460563	50219
43	446.637468385	1339532
44	33.7256341517	1585873
45	1140.64668456	216469
46	1257.21214308	234878
47	805.022175249	467026
48	662.478899433	107931
49	837.150599979	372813
50	812.168987252	42883
51	1400.45244121	122109
52	1014.86328296	62259
53	245.989024105	99710
54	179.512512603	2230722
55	665.088348399	159429
56	102.460853888	468730
57	199.341840948	311687
58	2818.74261333	111944
59	843.594041523	219607
60	209.553861213	154727
61	625.838595546	32749
