label_subcounty label_county Fraction
0 3 1.0
1 6 1.0
2 11 1.0
3 18 1.0
4 23 1.0
5 13 1.0
6 48 1.0
7 18 1.0
8 20 1.0
9 32 1.0
10 20 1.0
11 7 1.0
12 46 1.0
13 18 1.0
14 50 1.0
15 17 1.0
16 58 1.0
17 27 1.0
18 27 1.0
19 28 1.0
20 18 1.0
21 36 1.0
22 27 1.0
23 51 1.0
24 11 1.0
25 54 1.0
26 20 1.0
27 55 1.0
28 26 1.0
29 15 1.0
30 45 1.0
31 11 1.0
32 38 1.0
33 20 1.0
34 22 1.0
35 53 1.0
36 53 1.0
37 2 1.0
38 49 1.0
39 48 1.0
40 27 1.0
41 61 1.0
42 31 1.0
43 15 1.0
44 19 1.0
45 28 1.0
46 50 1.0
47 2 1.0
48 34 1.0
49 34 1.0
50 46 1.0
51 8 1.0
52 42 1.0
53 48 1.0
54 2 1.0
55 39 1.0
56 1 1.0
57 3 1.0
58 52 1.0
59 11 1.0
60 20 1.0
61 25 1.0
62 52 1.0
63 30 1.0
64 18 1.0
65 15 1.0
66 14 1.0
67 33 1.0
68 35 1.0
69 58 1.0
70 59 1.0
71 5 1.0
72 41 1.0
73 17 1.0
74 23 1.0
75 4 1.0
76 5 1.0
77 9 1.0
78 28 1.0
79 58 1.0
80 17 1.0
81 28 1.0
82 21 1.0
83 46 1.0
84 26 1.0
85 40 1.0
86 50 1.0
87 29 1.0
88 17 1.0
89 55 1.0
90 55 1.0
91 57 1.0
92 9 1.0
93 42 1.0
94 59 1.0
95 32 1.0
96 59 1.0
97 15 1.0
98 46 1.0
99 50 1.0
100 11 1.0
101 28 1.0
102 7 1.0
103 18 1.0
104 40 1.0
105 5 1.0
106 7 1.0
107 19 1.0
108 19 1.0
109 38 1.0
110 38 1.0
111 22 1.0
112 15 1.0
113 33 1.0
114 46 1.0
115 8 1.0
116 2 1.0
117 20 1.0
118 17 1.0
119 22 1.0
120 49 1.0
121 23 1.0
122 51 1.0
123 51 1.0
124 51 1.0
125 53 1.0
126 59 1.0
127 2 1.0
128 61 1.0
129 30 1.0
130 59 1.0
131 46 1.0
132 47 1.0
133 58 1.0
134 0 1.0
135 27 1.0
136 18 1.0
137 20 1.0
138 28 1.0
139 12 1.0
140 28 1.0
