zcta area pop
0 0.62 21102.0
1 0.88 81410.0
2 0.58 56024.0
3 0.56 3089.0
4 0.07 7135.0
5 0.09 3011.0
6 0.16 6988.0
7 0.62 61347.0
8 0.39 31834.0
9 0.66 50984.0
10 0.32 24090.0
11 0.55 27700.0
12 0.57 31959.0
13 0.53 54183.0
14 0.32 16575.0
15 0.32 5229.0
16 0.68 42870.0
17 0.39 43631.0
18 0.44 31924.0
19 0.49 60998.0
20 0.86 59283.0
21 0.75 94600.0
22 0.33 34003.0
23 0.87 59707.0
24 0.31 45141.0
25 0.83 76003.0
26 0.28 26999.0
27 0.65 56438.0
28 0.66 57331.0
29 0.6 53926.0
30 1.13 38908.0
31 1.4 33969.0
32 0.44 24711.0
33 0.26 17416.0
34 0.3 20300.0
35 0.46 24527.0
36 0.38 41905.0
37 0.24 11661.0
38 0.39 32270.0
39 0.1 5199.0
40 0.18 26121.0
41 0.01 3.0
42 0.02 92.0
43 0.47 60453.0
44 0.01 1685.0
45 0.001 2.0
46 0.03 9.0
47 0.14 7853.0
48 0.09 4783.0
49 3.66 39706.0
50 1.19 19088.0
51 3.14 26337.0
52 3.87 42193.0
53 4.25 41749.0
54 7.47 55909.0
55 1.96 14096.0
56 1.97 27357.0
57 6.72 32519.0
58 1.8 24962.0
59 7.68 59304.0
60 13.71 85510.0
61 1.01 45713.0
62 0.98 75371.0
63 0.92 78309.0
64 1.04 37337.0
65 0.71 39665.0
66 1.02 86547.0
67 1.06 70496.0
68 1.01 79492.0
69 0.82 47308.0
70 1.32 57311.0
71 2.4 50502.0
72 1.48 75784.0
73 1.45 67970.0
74 3.5 4534.0
75 3.43 42230.0
76 2.02 67813.0
77 2.33 97060.0
78 1.08 76103.0
79 2.48 66631.0
80 1.42 15293.0
81 2.58 22922.0
82 1.05 66358.0
83 2.18 58519.0
84 1.53 12281.0
85 1.72 40931.0
86 1.4 1219.0
87 2.12 5487.0
88 0.01 108.0
89 16.28 7987.0
90 0.65 851.0
91 16.35 5790.0
92 7.31 6408.0
93 36.1 19507.0
94 9.92 9988.0
95 1.47 2246.0
96 54.56 25590.0
97 12.82 11946.0
98 31.51 5289.0
99 0.33 539.0
100 3.45 1268.0
101 0.74 316.0
102 13.76 12810.0
103 2.43 10875.0
104 3.61 7444.0
105 20.8 4421.0
106 3.29 1809.0
107 2.44 908.0
108 3.83 12280.0
109 3.83 12604.0
110 1.87 4931.0
111 3.56 7322.0
112 0.45 555.0
113 25.63 10739.0
114 1.08 2416.0
115 3.59 16597.0
116 24.89 26339.0
117 4.09 20135.0
118 0.13 141.0
119 1.12 1277.0
120 5.07 7647.0
121 2.34 3487.0
122 19.19 16638.0
123 1.99 37144.0
124 1.66 19786.0
125 0.69 10170.0
126 20.85 4737.0
127 13.78 31796.0
128 4.37 23570.0
129 22.14 19929.0
130 6.52 12680.0
131 5.48 38352.0
132 22.5 5116.0
133 6.72 6552.0
134 1.58 681.0
135 32.77 8675.0
136 8.48 17208.0
137 12.36 38982.0
138 2.0 2282.0
139 8.0 8475.0
140 13.5 6767.0
141 9.89 22540.0
142 2.5 5117.0
143 5.97 8195.0
144 0.62 1729.0
145 3.34 968.0
146 26.49 28647.0
147 0.63 11376.0
148 3.29 17045.0
149 6.81 11250.0
150 5.08 18126.0
151 1.51 16499.0
152 2.22 6824.0
153 4.22 63393.0
154 1.76 20301.0
155 2.67 30165.0
156 2.21 38777.0
157 2.89 8679.0
158 1.3 10097.0
159 3.08 21225.0
160 1.36 9292.0
161 4.58 25120.0
162 3.42 40827.0
163 2.19 12435.0
164 4.33 14146.0
165 1.73 18414.0
166 18.0 23465.0
167 2.08 21.0
168 4.13 5532.0
169 2.44 414.0
170 0.14 119.0
171 20.2 4540.0
172 3.72 1968.0
173 32.92 11647.0
174 4.12 1040.0
175 4.18 8554.0
176 8.11 4135.0
177 2.27 1559.0
178 1.97 8732.0
179 38.34 13120.0
180 3.89 4539.0
181 5.18 3203.0
182 1.97 11910.0
183 5.44 4175.0
184 13.88 8958.0
185 6.41 1023.0
186 0.15 60.0
187 1.09 473.0
188 64.89 48418.0
189 32.03 13779.0
190 36.4 47226.0
191 9.13 38917.0
192 1.1 252.0
193 6.88 23045.0
194 16.17 31521.0
195 22.87 3291.0
196 4.19 15093.0
197 5.86 5950.0
198 12.67 4298.0
199 2.47 1472.0
200 5.25 14791.0
201 0.58 2353.0
202 11.22 1267.0
203 13.77 9993.0
204 8.39 2126.0
205 9.32 3152.0
206 5.88 281.0
207 1.15 2258.0
208 11.1 59048.0
209 0.15 234.0
210 24.38 13383.0
211 2.04 5532.0
212 1.6 2842.0
213 0.26 58.0
214 10.8 1974.0
215 37.12 3395.0
216 3.15 896.0
217 4.93 9293.0
218 60.87 20631.0
219 11.09 9621.0
220 1.16 4769.0
221 6.11 7085.0
222 3.24 6756.0
223 18.65 3122.0
224 2.23 26883.0
225 4.14 41356.0
226 0.95 14016.0
227 0.18 1806.0
228 2.38 23821.0
229 1.96 5914.0
230 2.34 17729.0
231 1.66 9027.0
232 3.52 8002.0
233 6.67 17962.0
234 4.78 40782.0
235 0.59 520.0
236 9.99 30171.0
237 1.22 8344.0
238 2.62 25484.0
239 0.81 34133.0
240 0.71 38780.0
241 0.39 27232.0
242 1.63 36688.0
243 0.86 38875.0
244 0.04 3523.0
245 1.42 51128.0
246 2.15 76174.0
247 1.59 78134.0
