72	4638
0	0	3518
0	1	919
0	2	383
0	3	54
0	4	13
0	5	271
0	7	84
0	8	1321
0	9	1637
0	11	2871
0	12	19
0	13	13
0	14	89
0	15	193
0	16	1539
0	17	81
0	18	1158
0	19	111
0	20	277
0	21	29
0	22	1726
0	23	2
0	24	1142
0	25	8
0	26	543
0	27	7339
0	28	29
0	29	1503
0	30	24
0	31	1661
0	32	97
0	33	274
0	34	826
0	35	10
0	36	813
0	37	106
0	38	644
0	39	16
0	40	116
0	41	4016
0	42	1680
0	43	320
0	44	5
0	46	92
0	47	5547
0	48	1642
0	49	5
0	50	402
0	51	2
0	52	397
0	53	89
0	54	386
0	55	772
0	56	571
0	57	2107
0	58	546
0	59	478
0	60	1373
0	61	122
0	62	8
0	63	970
0	64	938
0	65	886
0	66	576
0	67	424
0	68	361
0	69	919
0	70	492
0	71	263
1	0	192
1	1	1580
1	2	169
1	3	22
1	4	11
1	5	69
1	7	75
1	8	411
1	9	529
1	10	2
1	11	1003
1	12	4
1	13	2
1	14	60
1	15	183
1	16	3314
1	17	58
1	18	308
1	19	203
1	20	230
1	21	11
1	22	127
1	23	4
1	24	596
1	25	11
1	26	717
1	27	2793
1	28	13
1	29	545
1	30	37
1	31	2141
1	32	4
1	33	545
1	34	350
1	35	17
1	36	1591
1	37	169
1	38	344
1	39	26
1	40	37
1	41	7840
1	42	140
1	43	127
1	44	6
1	46	8
1	47	373
1	48	326
1	49	4
1	50	563
1	52	105
1	53	69
1	54	122
1	55	659
1	56	344
1	57	1092
1	58	194
1	59	753
1	60	160
1	61	44
1	62	2
1	63	885
1	64	265
1	65	786
1	66	252
1	67	395
1	68	572
1	69	632
1	70	100
1	71	469
2	0	260
2	1	641
2	2	829
2	3	36
2	4	4
2	5	115
2	7	54
2	8	691
2	9	1278
2	11	1630
2	12	18
2	13	2
2	14	31
2	15	65
2	16	1342
2	17	29
2	18	555
2	19	90
2	20	154
2	21	18
2	22	292
2	23	4
2	24	714
2	25	2
2	26	433
2	27	4006
2	28	40
2	29	523
2	30	22
2	31	2033
2	32	47
2	33	181
2	34	514
2	35	15
2	36	920
2	37	86
2	38	335
2	39	11
2	40	70
2	41	3235
2	42	238
2	43	201
2	44	4
2	45	4
2	46	13
2	47	544
2	48	1358
2	49	11
2	50	394
2	52	120
2	53	40
2	54	163
2	55	911
2	56	335
2	57	1956
2	58	296
2	59	557
2	60	335
2	61	77
2	62	4
2	63	614
2	64	532
2	65	718
2	66	331
2	67	301
2	68	238
2	69	607
2	70	324
2	71	262
3	0	33
3	1	69
3	2	23
3	3	117
3	5	23
3	7	25
3	8	366
3	9	94
3	11	225
3	14	20
3	15	30
3	16	48
3	17	7
3	18	212
3	19	25
3	20	17
3	22	25
3	24	292
3	25	2
3	26	66
3	27	371
3	28	2
3	29	307
3	30	15
3	31	215
3	32	2
3	33	30
3	34	212
3	35	2
3	36	51
3	37	2
3	38	123
3	39	17
3	40	7
3	41	330
3	42	58
3	43	7
3	47	117
3	48	25
3	49	2
3	50	51
3	52	76
3	53	15
3	54	133
3	55	87
3	56	261
3	57	194
3	58	164
3	59	53
3	60	156
3	61	7
3	62	2
3	63	66
3	64	51
3	65	69
3	66	15
3	67	128
3	68	53
3	69	105
3	70	12
3	71	10
4	0	11
4	1	104
4	2	4
4	3	4
4	4	29
4	5	15
4	7	13
4	8	63
4	9	50
4	11	111
4	14	9
4	15	72
4	16	309
4	17	6
4	18	36
4	19	29
4	20	34
4	22	20
4	24	36
4	26	54
4	27	366
4	28	4
4	29	59
4	30	2
4	31	104
4	33	109
4	34	40
4	35	4
4	36	116
4	37	61
4	38	27
4	40	6
4	41	568
4	42	9
4	43	22
4	44	2
4	46	2
4	47	29
4	48	27
4	50	220
4	53	6
4	54	9
4	55	47
4	56	27
4	57	127
4	58	11
4	59	52
4	60	6
4	61	6
4	63	93
4	64	13
4	65	86
4	66	38
4	67	45
4	68	320
4	69	72
4	70	4
4	71	59
5	0	34
5	1	86
5	2	20
5	3	6
5	4	4
5	5	217
5	7	11
5	8	324
5	9	115
5	11	465
5	12	4
5	14	11
5	15	18
5	16	147
5	17	15
5	18	281
5	19	6
5	20	9
5	22	79
5	24	367
5	25	4
5	26	20
5	27	824
5	28	4
5	29	211
5	30	4
5	31	140
5	32	4
5	33	63
5	34	156
5	36	77
5	37	13
5	38	97
5	39	4
5	40	9
5	41	392
5	42	93
5	43	22
5	44	2
5	47	315
5	48	77
5	50	36
5	52	49
5	53	20
5	54	31
5	55	47
5	56	79
5	57	236
5	58	95
5	59	74
5	60	47
5	61	13
5	63	70
5	64	129
5	65	102
5	66	38
5	67	56
5	68	38
5	69	163
5	70	24
5	71	22
6	0	4
6	1	31
6	5	9
6	6	22
6	7	9
6	8	49
6	9	31
6	10	4
6	11	36
6	14	932
6	15	81
6	16	72
6	17	484
6	18	63
6	19	13
6	22	13
6	23	9
6	24	90
6	25	40
6	26	54
6	27	72
6	28	4
6	29	72
6	30	584
6	31	63
6	33	9
6	34	54
6	35	22
6	36	13
6	37	9
6	38	36
6	39	72
6	40	4
6	41	144
6	42	4
6	43	4
6	46	4
6	47	18
6	48	13
6	49	4
6	50	49
6	52	18
6	53	81
6	54	36
6	55	22
6	56	22
6	57	13
6	58	45
6	59	9
6	60	22
6	61	4
6	62	4
6	63	27
6	64	18
6	65	27
6	66	27
6	67	95
6	68	36
