28	719
0	0	1431
0	1	103
0	2	11
0	3	1155
0	4	714
0	5	410
0	6	1434
0	7	1721
0	8	5
0	9	412
0	10	117
0	11	532
0	12	1487
0	13	1805
0	14	460
0	15	2
0	16	125
0	17	16
0	18	279
0	19	558
0	20	630
0	21	814
0	22	351
0	23	940
0	24	106
0	25	276
0	26	357
0	27	1953
1	0	17
1	1	261
1	3	92
1	4	219
1	5	4
1	6	500
1	7	551
1	9	207
1	10	29
1	11	202
1	12	522
1	13	51
1	14	204
1	16	48
1	18	124
1	19	73
1	20	209
1	21	353
1	22	17
1	23	544
1	24	56
1	25	12
1	26	173
1	27	17
2	1	18
2	2	218
2	3	93
2	4	187
2	5	18
2	6	168
2	7	262
2	9	31
2	10	12
2	11	118
2	12	193
2	13	24
2	14	62
2	15	24
2	16	12
2	18	37
2	19	118
2	20	87
2	21	62
2	22	93
2	23	74
2	24	12
2	25	24
2	26	56
2	27	37
3	0	416
3	1	399
3	2	2
3	3	5231
3	4	1854
3	5	196
3	6	4348
3	7	4932
3	9	1581
3	10	416
3	11	1299
3	12	5284
3	13	1725
3	14	1493
3	15	32
3	16	308
3	17	2
3	18	1144
3	19	1267
3	20	1502
3	21	2206
3	22	214
3	23	2890
3	24	313
3	25	437
3	26	1326
3	27	1299
4	0	120
4	1	643
4	2	12
4	3	1331
4	4	4332
4	5	39
4	6	4184
4	7	6937
4	9	1370
4	10	241
4	11	2581
4	12	4099
4	13	422
4	14	1337
4	15	105
4	16	498
4	18	935
4	19	2514
4	20	2212
4	21	2529
4	22	150
4	23	3145
4	24	540
4	25	510
4	26	1249
4	27	156
5	0	574
5	1	47
5	2	4
5	3	981
5	4	334
5	5	1984
5	6	728
5	7	921
5	8	25
5	9	210
5	10	120
5	11	338
5	12	1101
5	13	1654
5	14	274
5	15	25
5	16	102
5	17	42
5	18	197
5	19	377
5	20	398
5	21	428
5	22	368
5	23	342
5	24	64
5	25	128
5	26	300
5	27	5011
6	0	207
6	1	1014
6	2	13
6	3	3338
6	4	4420
6	5	110
6	6	8214
6	7	9172
6	9	2340
6	10	495
6	11	2829
6	12	7595
6	13	934
6	14	2290
6	15	110
6	16	569
6	18	1838
6	19	3188
6	20	2990
6	21	3991
6	22	321
6	23	5344
6	24	797
6	25	1021
6	26	2046
6	27	448
7	0	90
7	1	597
7	2	6
7	3	828
7	4	2082
7	5	18
7	6	2397
7	7	6453
7	9	1188
7	10	255
